time,open,high,low,close,tick_volume,spread,real_volume
2020-02-28,8710.05,8898.5,8422.5,8666.0,277776,201,0
2020-03-02,8498.61,8948.5,8477.5,8941.0,235380,250,0
2020-03-03,8908.74,8968.0,8646.5,8740.5,67523,201,0
2020-03-04,8701.98,8847.0,8661.5,8736.0,56041,201,0
2020-03-05,8731.25,9170.5,8706.47,9113.5,238101,201,0
2020-03-06,9083.13,9184.42,8993.0,9130.5,147482,201,0
2020-03-09,8267.5,8288.0,7626.0,7843.0,302644,201,0
2020-03-10,7834.42,8154.5,7690.46,7971.0,190897,201,0
2020-03-11,7978.41,8037.89,7578.0,7858.0,202825,201,0
2020-03-12,7834.49,7985.57,5384.5,5747.0,323033,201,0
2020-03-13,5661.92,5983.0,3771.5,5470.0,419985,201,0
2020-03-16,5211.22,5948.0,4417.0,4895.82,327414,201,0
2020-03-17,4866.7,5502.11,4812.98,5470.98,163443,222,0
2020-03-18,5469.45,5560.75,5004.98,5333.95,139237,211,0
2020-03-19,5331.88,6393.72,5259.48,6244.46,129853,240,0
2020-03-20,6225.12,6917.7,5596.5,5917.75,181412,211,0
2020-03-23,5992.69,6620.16,5666.34,6399.9,139524,210,0
2020-03-24,6344.76,6851.22,6335.38,6748.95,165525,211,0
2020-03-25,6729.38,6980.18,6443.4,6596.45,152991,203,0
2020-03-26,6563.28,6792.85,6501.52,6737.0,93543,203,0
2020-03-27,6737.03,6867.68,6575.83,6678.93,66360,232,0
2020-03-30,5899.87,6519.43,5722.0,6464.95,74740,205,0
2020-03-31,6465.1,6610.94,6338.76,6479.97,86098,204,0
2020-04-01,6458.06,6493.43,6147.37,6352.45,72042,202,0
2020-04-02,6373.08,7251.64,6310.21,6751.48,107884,205,0
2020-04-03,6693.47,7045.3,6602.82,6688.4,155313,201,0
2020-04-06,6730.16,7323.88,6720.87,7232.98,145728,201,0
2020-04-07,7221.74,7467.82,7065.63,7117.99,138992,201,0
2020-04-08,7097.68,7428.91,7076.35,7316.44,117811,208,0
2020-04-09,7321.87,7396.37,7098.06,7295.95,205958,201,0
2020-04-10,7276.21,7324.4,6744.31,6917.49,241288,204,0
2020-04-13,7084.29,7148.9,6559.62,6824.97,182878,203,0
2020-04-14,6851.98,6987.79,6766.79,6869.48,236606,251,0
2020-04-15,6837.5,6939.96,6681.77,6749.5,160982,204,0
2020-04-16,6739.59,7149.99,6465.6,7036.82,238304,214,0
2020-04-17,7017.2,7210.56,6987.71,7060.0,127621,251,0
2020-04-20,7131.81,7225.71,6747.57,6860.99,108559,208,0
2020-04-21,6854.72,6953.04,6763.75,6882.99,90691,201,0
2020-04-22,6868.8,7166.87,6819.38,7119.45,95871,207,0
2020-04-23,7096.01,7762.38,7023.83,7540.5,102583,210,0
2020-04-24,7548.46,7616.9,7377.42,7525.99,109391,202,0
2020-04-27,7633.68,7811.71,7587.41,7705.5,75168,202,0
2020-04-28,7686.83,7793.95,7662.33,7736.99,70692,202,0
2020-04-29,7704.39,8973.95,7702.72,8924.92,129021,202,0
2020-04-30,8784.57,9469.78,8396.45,8815.35,199753,201,0
2020-05-01,8769.31,9067.7,8579.3,8707.75,176873,201,0
2020-05-04,8804.08,8964.9,8526.65,8932.55,141577,201,0
2020-05-05,8907.98,9121.68,8746.25,8965.85,149334,201,0
2020-05-06,8973.45,9400.35,8913.25,9252.45,159517,206,0
2020-05-07,9228.54,9971.15,9012.55,9783.35,186237,206,0
2020-05-08,9748.93,10072.5,9721.8,9989.4,142091,206,0
2020-05-11,8717.05,9175.1,8142.0,8634.25,208454,201,0
2020-05-12,8635.29,8980.25,8460.9,8830.5,176137,201,0
2020-05-13,8794.31,9344.25,8732.75,9304.05,147155,202,0
2020-05-14,9324.71,9921.3,9251.05,9648.35,229128,205,0
2020-05-15,9611.02,9853.05,9070.75,9240.4,286830,210,0
2020-05-18,9714.2,9958.55,9412.55,9681.35,189869,205,0
2020-05-19,9670.8,9894.65,9447.9,9684.8,156255,210,0
2020-05-20,9678.8,9837.55,9263.35,9585.25,158284,210,0
2020-05-21,9557.96,9586.05,8784.9,9064.3,198456,201,0
2020-05-22,9024.55,9265.5,8918.45,9195.7,145491,205,0
2020-05-25,8992.52,9082.63,8622.2,8915.38,113680,207,0
2020-05-26,8903.32,9013.5,8690.5,8863.5,103895,207,0
2020-05-27,8837.77,9227.7,8802.13,9164.9,99441,205,0
2020-05-28,9134.9,9535.55,9044.15,9448.88,106441,205,0
2020-05-29,9427.3,9623.25,9314.4,9411.0,118510,203,0
2020-06-01,9468.74,9699.85,9379.35,9684.25,97379,225,0
2020-06-02,9636.83,10388.95,9222.3,9521.45,120469,201,0
2020-06-03,9494.91,9643.8,9370.22,9579.4,127968,212,0
2020-06-04,9570.9,9887.05,9446.05,9779.8,126015,201,0
2020-06-05,9776.1,9861.45,9545.25,9697.4,113274,202,0
2020-06-08,9686.0,9807.84,9638.0,9698.63,75571,210,0
2020-06-09,9695.35,9888.3,9514.0,9751.38,101366,218,0
2020-06-10,9751.25,10001.43,9615.5,9863.4,116215,213,0
2020-06-11,9869.85,9971.15,9001.45,9330.4,110190,205,0
2020-06-12,9316.81,9553.7,9223.4,9463.4,80624,220,0
2020-06-15,9376.4,9489.38,8887.1,9478.85,93083,207,0
2020-06-16,9492.65,9587.6,9378.88,9491.01,73254,202,0
2020-06-17,9496.35,9561.9,9223.41,9375.88,69791,206,0
2020-06-18,9352.19,9480.13,9290.15,9346.13,62939,225,0
2020-06-19,9302.7,9430.25,9212.6,9302.05,73741,225,0
2020-06-22,9310.55,9664.85,9266.7,9634.25,66074,225,0
2020-06-23,9673.3,9774.5,9568.25,9627.38,39252,205,0
2020-06-24,9611.4,9665.88,9182.35,9283.63,48470,210,0
2020-06-25,9286.45,9319.45,8976.05,9270.88,43796,225,0
2020-06-26,9267.0,9339.3,9021.65,9198.88,54602,202,0
2020-06-29,9095.75,9193.63,9012.4,9176.38,46280,225,0
2020-06-30,9200.26,9234.7,9043.75,9145.13,52262,207,0
2020-07-01,9146.7,9298.88,9086.38,9240.13,39775,201,0
2020-07-02,9236.2,9265.63,8928.4,9080.88,47883,205,0
2020-07-03,9058.89,9149.88,9035.0,9088.63,29131,206,0
2020-07-06,9014.84,9355.65,8892.15,9276.88,44602,225,0
2020-07-07,9272.9,9383.35,9198.1,9256.38,32654,225,0
2020-07-08,9248.15,9474.3,9223.55,9427.88,42839,225,0
2020-07-09,9427.1,9472.13,9154.6,9235.13,41130,202,0
2020-07-10,9241.45,9257.38,9110.45,9232.63,29551,212,0
2020-07-13,9230.9,9342.1,9194.13,9246.63,30585,225,0
2020-07-14,9233.9,9276.38,9078.15,9271.63,35698,225,0
2020-07-15,9259.34,9278.0,9147.65,9211.13,28243,225,0
2020-07-16,9194.22,9229.7,9024.63,9102.0,34915,214,0
2020-07-17,9101.45,9181.8,9075.85,9153.38,26489,212,0
2020-07-20,9177.25,9234.05,9125.4,9172.6,25862,225,0
2020-07-21,9155.25,9440.3,9145.85,9376.38,31157,212,0
2020-07-22,9378.65,9400.38,9269.7,9372.25,24813,225,0
2020-07-23,9351.51,9676.0,9351.51,9592.05,38046,212,0
2020-07-24,9580.55,9634.75,9473.45,9623.05,32978,215,0
2020-07-27,9879.15,10935.45,9846.14,10874.45,81386,203,0
2020-07-28,10851.55,11408.4,10577.76,10982.09,153861,203,0
2020-07-29,10997.29,11301.7,10850.76,11213.58,87924,211,0
2020-07-30,11237.5,11352.35,10801.81,11155.38,71729,212,0
2020-07-31,11150.8,11458.13,10973.38,11347.3,73380,212,0
2020-08-03,11113.4,11483.13,10880.43,11384.8,76346,204,0
2020-08-04,11348.31,11423.63,10977.08,11216.06,77305,225,0
2020-08-05,11182.06,11732.14,11078.77,11696.23,72014,211,0
2020-08-06,11671.11,11914.01,11465.18,11853.7,88646,225,0
2020-08-07,11855.46,11917.52,11326.42,11570.17,91687,225,0
2020-08-10,11666.25,12081.38,11432.5,11866.12,118953,212,0
2020-08-11,11843.43,11941.8,11115.85,11223.14,141275,211,0
2020-08-12,11179.83,11628.63,11110.14,11565.63,108229,212,0
2020-08-13,11534.18,11664.38,11264.88,11640.75,97565,225,0
2020-08-14,11645.75,11863.69,11579.93,11772.76,82458,225,0
2020-08-17,11825.52,12480.26,11724.0,12322.21,84812,212,0
2020-08-18,12318.5,12419.63,11842.3,12021.25,82064,205,0
2020-08-19,12035.89,12096.1,11551.25,11711.37,98573,212,0
2020-08-20,11711.12,11891.82,11674.13,11858.77,89022,205,0
2020-08-21,11841.75,11899.0,11588.83,11642.04,110015,225,0
2020-08-24,11640.93,11830.13,11586.47,11733.84,50430,225,0
2020-08-25,11707.37,11788.84,11108.26,11260.5,83284,214,0
2020-08-26,11254.54,11546.58,11242.46,11502.86,63709,224,0
2020-08-27,11502.7,11595.12,11116.01,11260.33,85646,201,0
2020-08-28,11236.36,11552.88,11190.01,11490.68,87088,201,0
2020-08-31,11608.18,11778.15,11572.19,11675.74,60784,212,0
2020-09-01,11645.87,12058.63,11510.25,12019.67,75805,201,0
2020-09-02,11988.22,12061.01,11132.31,11373.63,98894,212,0
2020-09-03,11337.06,11480.67,10449.9,10778.33,115955,209,0
2020-09-04,10749.8,10800.63,9858.16,10585.63,128345,206,0
2020-09-07,10216.82,10350.34,9872.61,10129.88,96395,225,0
2020-09-08,10171.24,10444.63,9916.61,10016.88,102986,225,0
2020-09-09,9989.15,10349.38,9827.49,10256.88,85458,225,0
