time,open,close,high,low,tick_volume,target_close
2020-02-28,8710.05,8666.0,8898.5,8422.5,277776,8941.0
2020-03-02,8498.61,8941.0,8948.5,8477.5,235380,8740.5
2020-03-03,8908.74,8740.5,8968.0,8646.5,67523,8736.0
2020-03-04,8701.98,8736.0,8847.0,8661.5,56041,9113.5
2020-03-05,8731.25,9113.5,9170.5,8706.47,238101,9130.5
2020-03-06,9083.13,9130.5,9184.42,8993.0,147482,7843.0
2020-03-09,8267.5,7843.0,8288.0,7626.0,302644,7971.0
2020-03-10,7834.42,7971.0,8154.5,7690.46,190897,7858.0
2020-03-11,7978.41,7858.0,8037.89,7578.0,202825,5747.0
2020-03-12,7834.49,5747.0,7985.57,5384.5,323033,5470.0
2020-03-13,5661.92,5470.0,5983.0,3771.5,419985,4895.82
2020-03-16,5211.22,4895.82,5948.0,4417.0,327414,5470.98
2020-03-17,4866.7,5470.98,5502.11,4812.98,163443,5333.95
2020-03-18,5469.45,5333.95,5560.75,5004.98,139237,6244.46
2020-03-19,5331.88,6244.46,6393.72,5259.48,129853,5917.75
2020-03-20,6225.12,5917.75,6917.7,5596.5,181412,6399.9
2020-03-23,5992.69,6399.9,6620.16,5666.34,139524,6748.95
2020-03-24,6344.76,6748.95,6851.22,6335.38,165525,6596.45
2020-03-25,6729.38,6596.45,6980.18,6443.4,152991,6737.0
2020-03-26,6563.28,6737.0,6792.85,6501.52,93543,6678.93
2020-03-27,6737.03,6678.93,6867.68,6575.83,66360,6464.95
2020-03-30,5899.87,6464.95,6519.43,5722.0,74740,6479.97
2020-03-31,6465.1,6479.97,6610.94,6338.76,86098,6352.45
2020-04-01,6458.06,6352.45,6493.43,6147.37,72042,6751.48
2020-04-02,6373.08,6751.48,7251.64,6310.21,107884,6688.4
2020-04-03,6693.47,6688.4,7045.3,6602.82,155313,7232.98
2020-04-06,6730.16,7232.98,7323.88,6720.87,145728,7117.99
2020-04-07,7221.74,7117.99,7467.82,7065.63,138992,7316.44
2020-04-08,7097.68,7316.44,7428.91,7076.35,117811,7295.95
2020-04-09,7321.87,7295.95,7396.37,7098.06,205958,6917.49
2020-04-10,7276.21,6917.49,7324.4,6744.31,241288,6824.97
2020-04-13,7084.29,6824.97,7148.9,6559.62,182878,6869.48
2020-04-14,6851.98,6869.48,6987.79,6766.79,236606,6749.5
2020-04-15,6837.5,6749.5,6939.96,6681.77,160982,7036.82
2020-04-16,6739.59,7036.82,7149.99,6465.6,238304,7060.0
2020-04-17,7017.2,7060.0,7210.56,6987.71,127621,6860.99
2020-04-20,7131.81,6860.99,7225.71,6747.57,108559,6882.99
2020-04-21,6854.72,6882.99,6953.04,6763.75,90691,7119.45
2020-04-22,6868.8,7119.45,7166.87,6819.38,95871,7540.5
2020-04-23,7096.01,7540.5,7762.38,7023.83,102583,7525.99
2020-04-24,7548.46,7525.99,7616.9,7377.42,109391,7705.5
2020-04-27,7633.68,7705.5,7811.71,7587.41,75168,7736.99
2020-04-28,7686.83,7736.99,7793.95,7662.33,70692,8924.92
2020-04-29,7704.39,8924.92,8973.95,7702.72,129021,8815.35
2020-04-30,8784.57,8815.35,9469.78,8396.45,199753,8707.75
2020-05-01,8769.31,8707.75,9067.7,8579.3,176873,8932.55
2020-05-04,8804.08,8932.55,8964.9,8526.65,141577,8965.85
2020-05-05,8907.98,8965.85,9121.68,8746.25,149334,9252.45
2020-05-06,8973.45,9252.45,9400.35,8913.25,159517,9783.35
2020-05-07,9228.54,9783.35,9971.15,9012.55,186237,9989.4
2020-05-08,9748.93,9989.4,10072.5,9721.8,142091,8634.25
2020-05-11,8717.05,8634.25,9175.1,8142.0,208454,8830.5
2020-05-12,8635.29,8830.5,8980.25,8460.9,176137,9304.05
2020-05-13,8794.31,9304.05,9344.25,8732.75,147155,9648.35
2020-05-14,9324.71,9648.35,9921.3,9251.05,229128,9240.4
2020-05-15,9611.02,9240.4,9853.05,9070.75,286830,9681.35
2020-05-18,9714.2,9681.35,9958.55,9412.55,189869,9684.8
2020-05-19,9670.8,9684.8,9894.65,9447.9,156255,9585.25
2020-05-20,9678.8,9585.25,9837.55,9263.35,158284,9064.3
2020-05-21,9557.96,9064.3,9586.05,8784.9,198456,9195.7
2020-05-22,9024.55,9195.7,9265.5,8918.45,145491,8915.38
2020-05-25,8992.52,8915.38,9082.63,8622.2,113680,8863.5
2020-05-26,8903.32,8863.5,9013.5,8690.5,103895,9164.9
2020-05-27,8837.77,9164.9,9227.7,8802.13,99441,9448.88
2020-05-28,9134.9,9448.88,9535.55,9044.15,106441,9411.0
2020-05-29,9427.3,9411.0,9623.25,9314.4,118510,9684.25
2020-06-01,9468.74,9684.25,9699.85,9379.35,97379,9521.45
2020-06-02,9636.83,9521.45,10388.95,9222.3,120469,9579.4
2020-06-03,9494.91,9579.4,9643.8,9370.22,127968,9779.8
2020-06-04,9570.9,9779.8,9887.05,9446.05,126015,9697.4
2020-06-05,9776.1,9697.4,9861.45,9545.25,113274,9698.63
2020-06-08,9686.0,9698.63,9807.84,9638.0,75571,9751.38
2020-06-09,9695.35,9751.38,9888.3,9514.0,101366,9863.4
2020-06-10,9751.25,9863.4,10001.43,9615.5,116215,9330.4
2020-06-11,9869.85,9330.4,9971.15,9001.45,110190,9463.4
2020-06-12,9316.81,9463.4,9553.7,9223.4,80624,9478.85
2020-06-15,9376.4,9478.85,9489.38,8887.1,93083,9491.01
2020-06-16,9492.65,9491.01,9587.6,9378.88,73254,9375.88
2020-06-17,9496.35,9375.88,9561.9,9223.41,69791,9346.13
2020-06-18,9352.19,9346.13,9480.13,9290.15,62939,9302.05
2020-06-19,9302.7,9302.05,9430.25,9212.6,73741,9634.25
2020-06-22,9310.55,9634.25,9664.85,9266.7,66074,9627.38
2020-06-23,9673.3,9627.38,9774.5,9568.25,39252,9283.63
2020-06-24,9611.4,9283.63,9665.88,9182.35,48470,9270.88
2020-06-25,9286.45,9270.88,9319.45,8976.05,43796,9198.88
2020-06-26,9267.0,9198.88,9339.3,9021.65,54602,9176.38
2020-06-29,9095.75,9176.38,9193.63,9012.4,46280,9145.13
